"./main -n 1 -f A-50k.in -s 12500"  69.92  1.86  68.58  1557024
"./main -n 1 -f A-50k.in -s 12500"  70.13  1.81  68.84  1554224
"./main -n 1 -f A-50k.in -s 12500"  69.66  1.58  68.49  1554224
"./main -n 2 -f A-50k.in -s 12500"  38.32  1.66  72.77  1568368
"./main -n 2 -f A-50k.in -s 12500"  38.48  1.45  73.10  1561888
"./main -n 2 -f A-50k.in -s 12500"  38.90  1.72  73.78  1624608
"./main -n 3 -f A-50k.in -s 12500"  28.03  1.77  75.53  1519792
"./main -n 3 -f A-50k.in -s 12500"  27.65  1.83  74.21  1576208
"./main -n 3 -f A-50k.in -s 12500"  27.70  1.81  74.73  1619344
"./main -n 4 -f A-50k.in -s 12500"  22.16  1.77  74.06  1622352
"./main -n 4 -f A-50k.in -s 12500"  22.22  1.81  74.44  1572368
"./main -n 4 -f A-50k.in -s 12500"  22.22  1.61  74.47  1558288
"./main -n 5 -f A-50k.in -s 12500"  18.53  1.61  72.46  1527856
"./main -n 5 -f A-50k.in -s 12500"  18.91  1.98  74.44  1559120
"./main -n 5 -f A-50k.in -s 12500"  18.79  1.66  73.86  1551920
"./main -n 6 -f A-50k.in -s 12500"  16.90  1.77  72.20  1605280
"./main -n 6 -f A-50k.in -s 12500"  16.50  1.68  68.96  1563104
"./main -n 6 -f A-50k.in -s 12500"  16.55  1.68  69.58  1576832
"./main -n 7 -f A-50k.in -s 12500"  15.50  1.89  63.86  1572736
"./main -n 7 -f A-50k.in -s 12500"  15.60  1.83  65.27  1542608
"./main -n 7 -f A-50k.in -s 12500"  15.56  2.17  64.97  1528144
"./main -n 8 -f A-50k.in -s 12500"  15.20  1.92  60.20  1534624
"./main -n 8 -f A-50k.in -s 12500"  15.00  1.89  57.46  1520480
"./main -n 8 -f A-50k.in -s 12500"  15.21  1.99  58.17  1623680
"./main -n 9 -f A-50k.in -s 12500"  15.14  2.19  57.27  1567216
"./main -n 9 -f A-50k.in -s 12500"  14.85  1.60  57.61  1563232
"./main -n 9 -f A-50k.in -s 12500"  14.92  1.85  57.35  1567680
"./main -n 10 -f A-50k.in -s 12500"  15.00  1.67  59.25  1582512
"./main -n 10 -f A-50k.in -s 12500"  15.20  1.82  61.72  1590368
"./main -n 10 -f A-50k.in -s 12500"  14.83  1.75  58.53  1553696
"./main -n 11 -f A-50k.in -s 12500"  15.01  1.93  58.94  1586720
"./main -n 11 -f A-50k.in -s 12500"  14.96  1.90  58.30  1566288
"./main -n 11 -f A-50k.in -s 12500"  15.15  1.90  62.33  1597376
"./main -n 12 -f A-50k.in -s 12500"  15.11  1.98  58.88  1548608
"./main -n 12 -f A-50k.in -s 12500"  15.05  1.77  58.24  1599104
"./main -n 12 -f A-50k.in -s 12500"  14.80  1.85  57.17  1570432
"./main -n 13 -f A-50k.in -s 12500"  14.93  1.87  57.68  1556576
"./main -n 13 -f A-50k.in -s 12500"  14.99  1.88  57.39  1600928
"./main -n 13 -f A-50k.in -s 12500"  14.92  2.06  58.69  1622528
"./main -n 14 -f A-50k.in -s 12500"  14.97  1.95  58.53  1540960
"./main -n 14 -f A-50k.in -s 12500"  15.08  1.90  57.41  1599584
"./main -n 14 -f A-50k.in -s 12500"  15.10  2.01  58.77  1570080
"./main -n 15 -f A-50k.in -s 12500"  15.13  1.92  57.51  1586112
"./main -n 15 -f A-50k.in -s 12500"  15.09  1.86  59.03  1615744
"./main -n 15 -f A-50k.in -s 12500"  15.10  1.87  57.53  1595120
"./main -n 16 -f A-50k.in -s 12500"  14.78  1.95  57.03  1572240
"./main -n 16 -f A-50k.in -s 12500"  15.04  1.87  57.47  1548224
"./main -n 16 -f A-50k.in -s 12500"  15.17  2.17  57.25  1592848
