"./main -n 1 -f A-200k.in -s 150000"  259.65  3.32  257.59  2160768
"./main -n 1 -f A-200k.in -s 150000"  256.22  3.14  254.30  2160768
"./main -n 1 -f A-200k.in -s 150000"  250.18  2.74  248.51  2160752
"./main -n 2 -f A-200k.in -s 150000"  132.66  3.18  246.81  2099136
"./main -n 2 -f A-200k.in -s 150000"  133.52  3.06  249.65  2093104
"./main -n 2 -f A-200k.in -s 150000"  132.77  3.07  247.97  2161440
"./main -n 3 -f A-200k.in -s 150000"  96.33  3.35  250.34  2120400
"./main -n 3 -f A-200k.in -s 150000"  97.49  3.52  252.90  2141520
"./main -n 3 -f A-200k.in -s 150000"  96.46  3.42  250.12  2186816
"./main -n 4 -f A-200k.in -s 150000"  79.53  3.98  250.02  2083328
"./main -n 4 -f A-200k.in -s 150000"  79.77  3.42  251.40  2184976
"./main -n 4 -f A-200k.in -s 150000"  78.45  3.42  247.12  2125568
"./main -n 5 -f A-200k.in -s 150000"  68.50  3.64  246.73  2188912
"./main -n 5 -f A-200k.in -s 150000"  68.26  3.73  245.98  2133840
"./main -n 5 -f A-200k.in -s 150000"  68.41  3.56  246.42  2126416
"./main -n 6 -f A-200k.in -s 150000"  63.14  3.81  247.55  2151152
"./main -n 6 -f A-200k.in -s 150000"  63.12  3.40  246.28  2210544
"./main -n 6 -f A-200k.in -s 150000"  63.32  3.66  246.89  2110576
"./main -n 7 -f A-200k.in -s 150000"  60.21  3.68  252.53  2091968
"./main -n 7 -f A-200k.in -s 150000"  60.28  3.50  250.56  2150448
"./main -n 7 -f A-200k.in -s 150000"  59.90  3.53  245.96  2125072
"./main -n 8 -f A-200k.in -s 150000"  58.36  3.79  234.68  2174864
"./main -n 8 -f A-200k.in -s 150000"  57.84  3.43  231.56  2149744
"./main -n 8 -f A-200k.in -s 150000"  57.91  3.47  232.15  2189072
"./main -n 9 -f A-200k.in -s 150000"  57.93  4.04  235.07  2099008
"./main -n 9 -f A-200k.in -s 150000"  57.55  3.76  228.93  2091872
"./main -n 9 -f A-200k.in -s 150000"  57.28  3.70  230.41  2114640
"./main -n 10 -f A-200k.in -s 150000"  57.89  3.49  228.79  2102352
"./main -n 10 -f A-200k.in -s 150000"  57.61  3.59  235.47  2097744
"./main -n 10 -f A-200k.in -s 150000"  57.83  3.52  236.11  2162800
"./main -n 11 -f A-200k.in -s 150000"  57.40  3.73  230.10  2139312
"./main -n 11 -f A-200k.in -s 150000"  57.14  3.70  228.71  2182528
"./main -n 11 -f A-200k.in -s 150000"  57.59  3.80  228.16  2178288
"./main -n 12 -f A-200k.in -s 150000"  57.75  3.95  236.50  2202256
"./main -n 12 -f A-200k.in -s 150000"  58.19  3.84  227.74  2114384
"./main -n 12 -f A-200k.in -s 150000"  58.06  3.70  230.62  2141536
"./main -n 13 -f A-200k.in -s 150000"  57.79  3.89  234.81  2095104
"./main -n 13 -f A-200k.in -s 150000"  57.47  3.40  228.69  2145600
"./main -n 13 -f A-200k.in -s 150000"  57.99  3.63  232.05  2185984
"./main -n 14 -f A-200k.in -s 150000"  57.50  3.43  227.25  2093936
"./main -n 14 -f A-200k.in -s 150000"  58.17  3.66  232.10  2141776
"./main -n 14 -f A-200k.in -s 150000"  57.58  3.76  228.66  2095760
"./main -n 15 -f A-200k.in -s 150000"  57.40  3.71  227.69  2203936
"./main -n 15 -f A-200k.in -s 150000"  57.95  3.96  227.58  2141024
"./main -n 15 -f A-200k.in -s 150000"  58.10  4.11  230.68  2166544
"./main -n 16 -f A-200k.in -s 150000"  57.58  3.56  228.66  2202000
"./main -n 16 -f A-200k.in -s 150000"  57.65  3.92  231.77  2201744
"./main -n 16 -f A-200k.in -s 150000"  58.20  3.86  229.60  2106000
