"./main -n 1 -f A-100k.in -s 25000"  135.16  2.68  133.25  3231680
"./main -n 1 -f A-100k.in -s 25000"  141.47  2.69  139.66  3230944
"./main -n 1 -f A-100k.in -s 25000"  139.17  2.28  137.75  3230944
"./main -n 2 -f A-100k.in -s 25000"  71.87  3.06  136.01  3216368
"./main -n 2 -f A-100k.in -s 25000"  73.39  3.06  139.13  3161168
"./main -n 2 -f A-100k.in -s 25000"  72.74  2.55  138.57  3070944
"./main -n 3 -f A-100k.in -s 25000"  53.34  2.92  144.22  3154432
"./main -n 3 -f A-100k.in -s 25000"  52.98  2.68  143.62  3164624
"./main -n 3 -f A-100k.in -s 25000"  51.57  2.46  140.09  3029328
"./main -n 4 -f A-100k.in -s 25000"  41.61  2.86  141.37  3186512
"./main -n 4 -f A-100k.in -s 25000"  42.18  3.05  143.97  3059232
"./main -n 4 -f A-100k.in -s 25000"  42.23  2.90  143.93  3082208
"./main -n 5 -f A-100k.in -s 25000"  35.05  2.69  138.68  3117568
"./main -n 5 -f A-100k.in -s 25000"  35.00  2.43  139.29  3048304
"./main -n 5 -f A-100k.in -s 25000"  35.30  2.75  139.81  3046800
"./main -n 6 -f A-100k.in -s 25000"  31.33  2.77  137.64  3037872
"./main -n 6 -f A-100k.in -s 25000"  31.56  2.83  137.97  3133760
"./main -n 6 -f A-100k.in -s 25000"  31.83  3.11  139.05  3085024
"./main -n 7 -f A-100k.in -s 25000"  29.13  3.45  131.50  3087888
"./main -n 7 -f A-100k.in -s 25000"  29.00  2.75  133.69  3042608
"./main -n 7 -f A-100k.in -s 25000"  28.99  3.07  131.52  3164528
"./main -n 8 -f A-100k.in -s 25000"  28.40  2.79  133.33  3116864
"./main -n 8 -f A-100k.in -s 25000"  28.05  3.20  126.70  3201808
"./main -n 8 -f A-100k.in -s 25000"  27.44  2.94  114.14  3151088
"./main -n 9 -f A-100k.in -s 25000"  27.42  3.13  114.22  3036608
"./main -n 9 -f A-100k.in -s 25000"  27.62  2.92  113.34  3202672
"./main -n 9 -f A-100k.in -s 25000"  27.94  2.98  113.29  3125456
"./main -n 10 -f A-100k.in -s 25000"  27.90  2.86  113.57  3147280
"./main -n 10 -f A-100k.in -s 25000"  27.58  2.79  113.14  3051536
"./main -n 10 -f A-100k.in -s 25000"  28.03  2.86  120.15  3193792
"./main -n 11 -f A-100k.in -s 25000"  27.52  2.87  115.52  3107712
"./main -n 11 -f A-100k.in -s 25000"  27.60  3.13  112.19  3044016
"./main -n 11 -f A-100k.in -s 25000"  27.67  2.78  113.79  3198832
"./main -n 12 -f A-100k.in -s 25000"  27.65  2.92  114.03  3117520
"./main -n 12 -f A-100k.in -s 25000"  27.81  3.37  115.16  3173568
"./main -n 12 -f A-100k.in -s 25000"  27.66  2.84  114.73  3127856
"./main -n 13 -f A-100k.in -s 25000"  27.19  3.01  112.51  3042992
"./main -n 13 -f A-100k.in -s 25000"  27.31  3.03  112.92  3052000
"./main -n 13 -f A-100k.in -s 25000"  27.60  3.49  112.12  3138064
"./main -n 14 -f A-100k.in -s 25000"  27.84  3.09  114.60  3150864
"./main -n 14 -f A-100k.in -s 25000"  27.52  2.96  113.96  3236992
"./main -n 14 -f A-100k.in -s 25000"  27.69  2.61  113.60  3199568
"./main -n 15 -f A-100k.in -s 25000"  27.76  3.15  113.21  3054096
"./main -n 15 -f A-100k.in -s 25000"  27.77  3.24  112.96  3212528
"./main -n 15 -f A-100k.in -s 25000"  28.01  3.16  113.51  3216784
"./main -n 16 -f A-100k.in -s 25000"  27.68  3.01  112.17  3090896
"./main -n 16 -f A-100k.in -s 25000"  27.66  2.75  113.44  3077328
"./main -n 16 -f A-100k.in -s 25000"  27.53  3.10  113.66  3217104
