"./main -n 1 -f A-100k.in -s 100000"  122.52  0.77  122.21  57232
"./main -n 1 -f A-100k.in -s 100000"  126.74  1.06  126.19  57232
"./main -n 1 -f A-100k.in -s 100000"  122.97  0.91  122.57  57216
"./main -n 2 -f A-100k.in -s 100000"  64.64  1.08  119.83  58032
"./main -n 2 -f A-100k.in -s 100000"  62.33  1.43  114.94  58160
"./main -n 2 -f A-100k.in -s 100000"  62.44  1.09  115.40  58272
"./main -n 3 -f A-100k.in -s 100000"  46.71  1.18  120.16  59984
"./main -n 3 -f A-100k.in -s 100000"  45.90  1.05  117.55  60496
"./main -n 3 -f A-100k.in -s 100000"  45.15  1.14  115.52  59600
"./main -n 4 -f A-100k.in -s 100000"  37.78  1.19  115.70  60416
"./main -n 4 -f A-100k.in -s 100000"  37.68  1.27  114.74  60448
"./main -n 4 -f A-100k.in -s 100000"  37.61  1.06  115.71  60400
"./main -n 5 -f A-100k.in -s 100000"  33.24  1.32  115.50  61344
"./main -n 5 -f A-100k.in -s 100000"  33.46  1.43  116.14  61408
"./main -n 5 -f A-100k.in -s 100000"  33.18  1.57  115.64  61616
"./main -n 6 -f A-100k.in -s 100000"  31.27  1.17  116.55  61952
"./main -n 6 -f A-100k.in -s 100000"  31.41  1.56  116.32  61792
"./main -n 6 -f A-100k.in -s 100000"  31.12  1.43  115.11  61504
"./main -n 7 -f A-100k.in -s 100000"  29.66  1.34  115.05  61872
"./main -n 7 -f A-100k.in -s 100000"  30.08  1.21  119.98  62000
"./main -n 7 -f A-100k.in -s 100000"  30.30  1.32  122.30  61600
"./main -n 8 -f A-100k.in -s 100000"  29.03  1.36  115.44  60272
"./main -n 8 -f A-100k.in -s 100000"  29.16  1.25  116.27  60128
"./main -n 8 -f A-100k.in -s 100000"  29.09  1.59  116.55  60064
"./main -n 9 -f A-100k.in -s 100000"  28.85  1.29  115.77  60048
"./main -n 9 -f A-100k.in -s 100000"  29.22  1.48  116.49  60096
"./main -n 9 -f A-100k.in -s 100000"  29.40  1.37  118.27  60096
"./main -n 10 -f A-100k.in -s 100000"  29.02  1.21  117.40  59424
"./main -n 10 -f A-100k.in -s 100000"  29.36  1.64  119.00  59920
"./main -n 10 -f A-100k.in -s 100000"  28.94  1.38  117.69  59616
"./main -n 11 -f A-100k.in -s 100000"  28.88  1.25  115.39  60016
"./main -n 11 -f A-100k.in -s 100000"  28.96  1.35  114.97  60064
"./main -n 11 -f A-100k.in -s 100000"  28.84  1.54  113.50  59216
"./main -n 12 -f A-100k.in -s 100000"  28.78  1.49  113.65  60096
"./main -n 12 -f A-100k.in -s 100000"  28.83  1.22  115.22  58816
"./main -n 12 -f A-100k.in -s 100000"  29.15  1.48  115.74  59440
"./main -n 13 -f A-100k.in -s 100000"  28.66  1.50  116.68  59440
"./main -n 13 -f A-100k.in -s 100000"  28.89  1.39  116.75  60096
"./main -n 13 -f A-100k.in -s 100000"  28.69  1.38  113.44  60144
"./main -n 14 -f A-100k.in -s 100000"  28.79  1.45  113.26  59328
"./main -n 14 -f A-100k.in -s 100000"  29.12  1.53  117.39  60128
"./main -n 14 -f A-100k.in -s 100000"  29.17  1.36  113.74  60096
"./main -n 15 -f A-100k.in -s 100000"  29.11  1.45  114.62  59184
"./main -n 15 -f A-100k.in -s 100000"  28.92  1.38  114.04  60064
"./main -n 15 -f A-100k.in -s 100000"  28.91  1.45  113.56  58624
"./main -n 16 -f A-100k.in -s 100000"  29.05  1.34  115.13  59104
"./main -n 16 -f A-100k.in -s 100000"  29.11  1.38  113.65  60064
"./main -n 16 -f A-100k.in -s 100000"  28.99  1.41  116.27  60096
