"./main -n 1 -f A-50k.in -s 50000"  63.63  0.39  63.48  32832
"./main -n 1 -f A-50k.in -s 50000"  62.29  0.55  61.97  32832
"./main -n 1 -f A-50k.in -s 50000"  63.60  0.65  63.22  32848
"./main -n 2 -f A-50k.in -s 50000"  32.69  0.60  60.42  33504
"./main -n 2 -f A-50k.in -s 50000"  33.14  0.52  61.39  33744
"./main -n 2 -f A-50k.in -s 50000"  33.15  0.63  61.44  33408
"./main -n 3 -f A-50k.in -s 50000"  24.09  0.59  61.88  34224
"./main -n 3 -f A-50k.in -s 50000"  23.94  0.51  61.75  34816
"./main -n 3 -f A-50k.in -s 50000"  24.97  0.63  64.39  34864
"./main -n 4 -f A-50k.in -s 50000"  19.82  0.74  60.55  35488
"./main -n 4 -f A-50k.in -s 50000"  20.19  0.79  62.43  35184
"./main -n 4 -f A-50k.in -s 50000"  20.09  0.65  62.16  35280
"./main -n 5 -f A-50k.in -s 50000"  17.62  0.59  60.64  36336
"./main -n 5 -f A-50k.in -s 50000"  17.46  0.58  59.09  36448
"./main -n 5 -f A-50k.in -s 50000"  17.35  0.66  58.94  36928
"./main -n 6 -f A-50k.in -s 50000"  16.51  0.69  61.80  35392
"./main -n 6 -f A-50k.in -s 50000"  16.34  0.82  59.97  36496
"./main -n 6 -f A-50k.in -s 50000"  16.34  0.63  59.98  36368
"./main -n 7 -f A-50k.in -s 50000"  15.92  0.65  64.47  36432
"./main -n 7 -f A-50k.in -s 50000"  15.77  0.86  60.51  36336
"./main -n 7 -f A-50k.in -s 50000"  15.90  0.81  61.87  36464
"./main -n 8 -f A-50k.in -s 50000"  15.53  0.85  59.13  34592
"./main -n 8 -f A-50k.in -s 50000"  15.66  0.82  61.38  36320
"./main -n 8 -f A-50k.in -s 50000"  15.51  0.72  60.17  34544
"./main -n 9 -f A-50k.in -s 50000"  15.70  0.65  63.12  34656
"./main -n 9 -f A-50k.in -s 50000"  15.49  0.89  62.97  34384
"./main -n 9 -f A-50k.in -s 50000"  15.21  0.65  58.33  34400
"./main -n 10 -f A-50k.in -s 50000"  15.50  0.84  62.28  34528
"./main -n 10 -f A-50k.in -s 50000"  15.43  0.79  60.13  34352
"./main -n 10 -f A-50k.in -s 50000"  15.43  0.64  60.28  34672
"./main -n 11 -f A-50k.in -s 50000"  15.48  0.70  60.00  34416
"./main -n 11 -f A-50k.in -s 50000"  15.42  0.86  58.78  34432
"./main -n 11 -f A-50k.in -s 50000"  15.49  0.77  61.47  34400
"./main -n 12 -f A-50k.in -s 50000"  15.47  0.78  60.45  34368
"./main -n 12 -f A-50k.in -s 50000"  15.49  0.96  59.63  34352
"./main -n 12 -f A-50k.in -s 50000"  15.36  1.04  59.00  34400
"./main -n 13 -f A-50k.in -s 50000"  15.52  0.91  61.86  34480
"./main -n 13 -f A-50k.in -s 50000"  15.42  0.70  59.77  34416
"./main -n 13 -f A-50k.in -s 50000"  15.55  0.82  62.61  34704
"./main -n 14 -f A-50k.in -s 50000"  15.54  0.84  63.66  34704
"./main -n 14 -f A-50k.in -s 50000"  15.48  0.84  60.76  34432
"./main -n 14 -f A-50k.in -s 50000"  15.49  0.82  62.48  34608
"./main -n 15 -f A-50k.in -s 50000"  15.25  0.83  58.52  34432
"./main -n 15 -f A-50k.in -s 50000"  15.47  0.87  58.56  34464
"./main -n 15 -f A-50k.in -s 50000"  15.37  0.51  58.17  34400
"./main -n 16 -f A-50k.in -s 50000"  15.17  0.66  60.04  34448
"./main -n 16 -f A-50k.in -s 50000"  15.50  0.72  61.61  34416
"./main -n 16 -f A-50k.in -s 50000"  15.73  0.80  60.94  34688
