"./main -n 1 -f A-200k.in -s 200000"  242.55  2.02  241.47  105328
"./main -n 1 -f A-200k.in -s 200000"  241.01  2.23  239.78  105328
"./main -n 1 -f A-200k.in -s 200000"  234.64  1.69  233.95  105328
"./main -n 2 -f A-200k.in -s 200000"  125.23  2.23  231.22  106848
"./main -n 2 -f A-200k.in -s 200000"  125.46  2.15  231.70  106864
"./main -n 2 -f A-200k.in -s 200000"  125.10  2.28  230.97  106720
"./main -n 3 -f A-200k.in -s 200000"  90.69  2.45  230.70  109552
"./main -n 3 -f A-200k.in -s 200000"  91.81  2.39  234.25  109456
"./main -n 3 -f A-200k.in -s 200000"  92.02  2.28  234.07  107776
"./main -n 4 -f A-200k.in -s 200000"  76.08  2.34  231.63  109520
"./main -n 4 -f A-200k.in -s 200000"  76.10  2.14  233.03  109360
"./main -n 4 -f A-200k.in -s 200000"  75.74  2.49  229.97  110160
"./main -n 5 -f A-200k.in -s 200000"  66.70  2.26  230.65  110368
"./main -n 5 -f A-200k.in -s 200000"  67.03  2.54  231.03  110048
"./main -n 5 -f A-200k.in -s 200000"  66.78  2.21  230.48  109920
"./main -n 6 -f A-200k.in -s 200000"  62.45  2.52  230.86  110944
"./main -n 6 -f A-200k.in -s 200000"  62.31  2.55  230.40  111120
"./main -n 6 -f A-200k.in -s 200000"  62.41  2.68  229.58  111392
"./main -n 7 -f A-200k.in -s 200000"  60.38  2.75  239.66  110864
"./main -n 7 -f A-200k.in -s 200000"  59.91  2.97  231.06  111136
"./main -n 7 -f A-200k.in -s 200000"  60.30  2.54  238.67  111536
"./main -n 8 -f A-200k.in -s 200000"  58.73  2.59  229.89  107328
"./main -n 8 -f A-200k.in -s 200000"  58.44  2.53  229.34  107648
"./main -n 8 -f A-200k.in -s 200000"  58.78  2.52  228.61  107200
"./main -n 9 -f A-200k.in -s 200000"  58.14  2.54  228.15  107392
"./main -n 9 -f A-200k.in -s 200000"  58.31  2.84  227.86  107744
"./main -n 9 -f A-200k.in -s 200000"  58.49  2.81  228.08  107744
"./main -n 10 -f A-200k.in -s 200000"  57.83  2.78  229.64  109072
"./main -n 10 -f A-200k.in -s 200000"  58.55  2.61  228.67  107280
"./main -n 10 -f A-200k.in -s 200000"  58.08  2.53  238.02  107952
"./main -n 11 -f A-200k.in -s 200000"  58.39  2.93  230.55  107456
"./main -n 11 -f A-200k.in -s 200000"  58.51  2.89  231.86  107424
"./main -n 11 -f A-200k.in -s 200000"  58.57  2.85  234.51  107888
"./main -n 12 -f A-200k.in -s 200000"  58.23  2.69  231.14  109104
"./main -n 12 -f A-200k.in -s 200000"  58.90  2.84  232.96  107856
"./main -n 12 -f A-200k.in -s 200000"  58.48  2.73  235.00  107520
"./main -n 13 -f A-200k.in -s 200000"  58.82  2.96  230.53  107376
"./main -n 13 -f A-200k.in -s 200000"  58.25  2.59  231.37  107984
"./main -n 13 -f A-200k.in -s 200000"  58.88  2.97  228.71  107648
"./main -n 14 -f A-200k.in -s 200000"  58.75  2.76  231.58  107440
"./main -n 14 -f A-200k.in -s 200000"  58.73  2.69  231.43  107664
"./main -n 14 -f A-200k.in -s 200000"  58.22  2.83  227.77  107312
"./main -n 15 -f A-200k.in -s 200000"  58.71  2.80  230.13  107360
"./main -n 15 -f A-200k.in -s 200000"  59.43  2.67  233.33  107536
"./main -n 15 -f A-200k.in -s 200000"  58.61  2.89  229.16  107360
"./main -n 16 -f A-200k.in -s 200000"  59.12  2.69  237.28  108112
"./main -n 16 -f A-200k.in -s 200000"  58.84  2.84  233.38  107920
"./main -n 16 -f A-200k.in -s 200000"  58.28  2.28  228.29  107504
