"./main -n 1 -f A-50k.in -s 25000"  66.87  1.27  65.97  1070320
"./main -n 1 -f A-50k.in -s 25000"  69.86  1.44  68.84  1070304
"./main -n 1 -f A-50k.in -s 25000"  69.20  1.18  68.41  1070304
"./main -n 2 -f A-50k.in -s 25000"  37.00  1.20  69.92  1090480
"./main -n 2 -f A-50k.in -s 25000"  35.88  1.33  67.51  1069056
"./main -n 2 -f A-50k.in -s 25000"  36.42  1.19  68.65  1047120
"./main -n 3 -f A-50k.in -s 25000"  27.18  1.53  72.40  1039472
"./main -n 3 -f A-50k.in -s 25000"  26.52  1.26  70.35  1041984
"./main -n 3 -f A-50k.in -s 25000"  26.87  1.40  71.59  1060560
"./main -n 4 -f A-50k.in -s 25000"  21.53  1.35  70.64  1079952
"./main -n 4 -f A-50k.in -s 25000"  21.26  1.28  69.51  1050800
"./main -n 4 -f A-50k.in -s 25000"  21.75  1.52  71.40  1048960
"./main -n 5 -f A-50k.in -s 25000"  18.32  1.22  69.46  1047392
"./main -n 5 -f A-50k.in -s 25000"  18.44  1.51  69.47  1086912
"./main -n 5 -f A-50k.in -s 25000"  18.81  1.43  72.26  1071472
"./main -n 6 -f A-50k.in -s 25000"  16.60  1.30  66.63  1066336
"./main -n 6 -f A-50k.in -s 25000"  16.63  1.43  67.12  1090560
"./main -n 6 -f A-50k.in -s 25000"  16.62  1.47  67.90  1056144
"./main -n 7 -f A-50k.in -s 25000"  15.70  1.29  63.24  1067520
"./main -n 7 -f A-50k.in -s 25000"  15.72  1.38  65.00  1075136
"./main -n 7 -f A-50k.in -s 25000"  15.66  1.54  62.41  1061392
"./main -n 8 -f A-50k.in -s 25000"  15.18  1.34  59.78  1044736
"./main -n 8 -f A-50k.in -s 25000"  14.96  1.49  57.44  1055312
"./main -n 8 -f A-50k.in -s 25000"  15.36  1.36  60.92  1038048
"./main -n 9 -f A-50k.in -s 25000"  15.16  1.47  58.58  1032960
"./main -n 9 -f A-50k.in -s 25000"  14.86  1.34  57.35  1069344
"./main -n 9 -f A-50k.in -s 25000"  15.08  1.25  58.88  1055360
"./main -n 10 -f A-50k.in -s 25000"  15.25  1.59  58.53  1027968
"./main -n 10 -f A-50k.in -s 25000"  15.31  1.35  57.93  1030192
"./main -n 10 -f A-50k.in -s 25000"  15.14  1.38  59.49  1035552
"./main -n 11 -f A-50k.in -s 25000"  15.10  1.30  59.51  1027264
"./main -n 11 -f A-50k.in -s 25000"  15.27  1.45  60.52  1026880
"./main -n 11 -f A-50k.in -s 25000"  15.14  1.62  58.99  1071104
"./main -n 12 -f A-50k.in -s 25000"  15.00  1.38  59.13  1026304
"./main -n 12 -f A-50k.in -s 25000"  15.04  1.49  58.49  1056080
"./main -n 12 -f A-50k.in -s 25000"  15.23  1.41  59.80  1078320
"./main -n 13 -f A-50k.in -s 25000"  15.21  1.52  59.10  1038496
"./main -n 13 -f A-50k.in -s 25000"  15.21  1.55  63.81  1085040
"./main -n 13 -f A-50k.in -s 25000"  15.33  1.49  61.39  1082432
"./main -n 14 -f A-50k.in -s 25000"  15.11  1.33  58.05  1049088
"./main -n 14 -f A-50k.in -s 25000"  15.10  1.43  60.96  1061728
"./main -n 14 -f A-50k.in -s 25000"  15.28  1.50  60.86  1042048
"./main -n 15 -f A-50k.in -s 25000"  15.14  1.54  60.40  1055952
"./main -n 15 -f A-50k.in -s 25000"  15.09  1.35  60.97  1040224
"./main -n 15 -f A-50k.in -s 25000"  15.39  1.53  58.55  1091376
"./main -n 16 -f A-50k.in -s 25000"  15.30  1.57  62.41  1074448
"./main -n 16 -f A-50k.in -s 25000"  15.20  1.55  61.90  1036112
"./main -n 16 -f A-50k.in -s 25000"  15.08  1.33  63.11  1034864
