"./main -n 1 -f A-200k.in -s 50000"  280.30  5.23  276.79  6443552
"./main -n 1 -f A-200k.in -s 50000"  278.86  5.12  275.42  6443552
"./main -n 1 -f A-200k.in -s 50000"  277.60  4.92  274.26  6443568
"./main -n 2 -f A-200k.in -s 50000"  147.65  5.19  280.42  6153744
"./main -n 2 -f A-200k.in -s 50000"  145.87  5.46  276.25  6111264
"./main -n 2 -f A-200k.in -s 50000"  148.35  5.20  281.33  6242624
"./main -n 3 -f A-200k.in -s 50000"  104.48  6.06  280.63  6438928
"./main -n 3 -f A-200k.in -s 50000"  106.09  5.55  287.21  6399680
"./main -n 3 -f A-200k.in -s 50000"  106.07  5.32  286.98  6122480
"./main -n 4 -f A-200k.in -s 50000"  85.35  5.46  289.75  6061568
"./main -n 4 -f A-200k.in -s 50000"  83.87  5.43  284.76  6308992
"./main -n 4 -f A-200k.in -s 50000"  82.93  5.75  279.68  6061392
"./main -n 5 -f A-200k.in -s 50000"  70.70  5.54  278.25  6227792
"./main -n 5 -f A-200k.in -s 50000"  70.62  5.45  279.53  6055136
"./main -n 5 -f A-200k.in -s 50000"  70.30  5.52  278.11  6064288
"./main -n 6 -f A-200k.in -s 50000"  63.86  5.60  280.70  6279488
"./main -n 6 -f A-200k.in -s 50000"  63.25  5.77  274.62  6222368
"./main -n 6 -f A-200k.in -s 50000"  64.65  5.84  282.17  6440928
"./main -n 7 -f A-200k.in -s 50000"  58.40  6.08  261.62  6443392
"./main -n 7 -f A-200k.in -s 50000"  58.18  5.91  262.97  6285184
"./main -n 7 -f A-200k.in -s 50000"  58.12  5.68  260.92  6345856
"./main -n 8 -f A-200k.in -s 50000"  56.33  5.33  259.54  6123376
"./main -n 8 -f A-200k.in -s 50000"  56.85  6.31  263.94  6153360
"./main -n 8 -f A-200k.in -s 50000"  57.14  5.88  260.53  6353376
"./main -n 9 -f A-200k.in -s 50000"  55.29  5.93  233.09  6380768
"./main -n 9 -f A-200k.in -s 50000"  54.74  5.60  228.83  6206144
"./main -n 9 -f A-200k.in -s 50000"  55.50  5.96  226.96  6321728
"./main -n 10 -f A-200k.in -s 50000"  56.16  6.13  228.03  6333360
"./main -n 10 -f A-200k.in -s 50000"  55.67  6.41  227.36  6278832
"./main -n 10 -f A-200k.in -s 50000"  55.47  5.69  233.98  6417392
"./main -n 11 -f A-200k.in -s 50000"  55.32  5.83  225.58  6264704
"./main -n 11 -f A-200k.in -s 50000"  54.72  5.93  232.33  6167504
"./main -n 11 -f A-200k.in -s 50000"  55.61  5.88  225.62  6139376
"./main -n 12 -f A-200k.in -s 50000"  55.46  6.29  225.95  6442064
"./main -n 12 -f A-200k.in -s 50000"  54.47  5.98  224.80  6314000
"./main -n 12 -f A-200k.in -s 50000"  55.97  5.92  236.77  6073984
"./main -n 13 -f A-200k.in -s 50000"  55.19  5.70  230.51  6396752
"./main -n 13 -f A-200k.in -s 50000"  55.91  6.49  228.16  6319136
"./main -n 13 -f A-200k.in -s 50000"  55.00  5.80  233.11  6333360
"./main -n 14 -f A-200k.in -s 50000"  55.87  6.40  242.12  6064416
"./main -n 14 -f A-200k.in -s 50000"  56.10  5.93  228.57  6327520
"./main -n 14 -f A-200k.in -s 50000"  54.76  5.63  232.78  6060288
"./main -n 15 -f A-200k.in -s 50000"  55.87  5.85  229.89  6146896
"./main -n 15 -f A-200k.in -s 50000"  54.95  5.56  229.93  6262640
"./main -n 15 -f A-200k.in -s 50000"  55.60  6.28  231.23  6231168
"./main -n 16 -f A-200k.in -s 50000"  55.74  6.02  228.89  6061648
"./main -n 16 -f A-200k.in -s 50000"  55.18  5.81  228.74  6279616
"./main -n 16 -f A-200k.in -s 50000"  54.85  5.82  229.72  6430384
