"./main -n 1 -f A-100k.in -s 75000"  124.48  1.56  123.50  1084848
"./main -n 1 -f A-100k.in -s 75000"  127.76  1.65  126.74  1084880
"./main -n 1 -f A-100k.in -s 75000"  125.91  1.79  124.76  1084848
"./main -n 2 -f A-100k.in -s 75000"  65.97  1.29  123.56  1056128
"./main -n 2 -f A-100k.in -s 75000"  67.43  1.73  125.66  1072096
"./main -n 2 -f A-100k.in -s 75000"  67.00  1.58  125.09  1054720
"./main -n 3 -f A-100k.in -s 75000"  48.10  1.73  125.29  1052592
"./main -n 3 -f A-100k.in -s 75000"  48.31  1.84  125.66  1081424
"./main -n 3 -f A-100k.in -s 75000"  49.30  1.62  129.48  1113408
"./main -n 4 -f A-100k.in -s 75000"  39.53  1.60  126.07  1102512
"./main -n 4 -f A-100k.in -s 75000"  39.48  1.68  125.18  1103408
"./main -n 4 -f A-100k.in -s 75000"  39.21  1.54  124.24  1095968
"./main -n 5 -f A-100k.in -s 75000"  34.42  1.72  126.47  1066704
"./main -n 5 -f A-100k.in -s 75000"  34.19  1.89  124.10  1107136
"./main -n 5 -f A-100k.in -s 75000"  34.06  1.85  124.34  1060224
"./main -n 6 -f A-100k.in -s 75000"  31.48  1.86  123.50  1072160
"./main -n 6 -f A-100k.in -s 75000"  31.57  1.78  124.62  1118272
"./main -n 6 -f A-100k.in -s 75000"  31.52  2.01  124.08  1080288
"./main -n 7 -f A-100k.in -s 75000"  29.70  1.96  120.32  1092016
"./main -n 7 -f A-100k.in -s 75000"  29.99  1.92  124.85  1102224
"./main -n 7 -f A-100k.in -s 75000"  30.11  2.06  125.52  1059472
"./main -n 8 -f A-100k.in -s 75000"  28.79  2.07  114.44  1070320
"./main -n 8 -f A-100k.in -s 75000"  28.88  1.80  115.61  1092464
"./main -n 8 -f A-100k.in -s 75000"  28.76  1.77  113.94  1070864
"./main -n 9 -f A-100k.in -s 75000"  28.91  2.09  114.95  1107264
"./main -n 9 -f A-100k.in -s 75000"  28.77  1.95  116.56  1111216
"./main -n 9 -f A-100k.in -s 75000"  28.83  1.68  117.38  1070704
"./main -n 10 -f A-100k.in -s 75000"  28.77  2.00  113.49  1054320
"./main -n 10 -f A-100k.in -s 75000"  28.80  2.09  113.53  1080160
"./main -n 10 -f A-100k.in -s 75000"  28.80  1.82  114.27  1067280
"./main -n 11 -f A-100k.in -s 75000"  28.88  1.79  114.91  1102304
"./main -n 11 -f A-100k.in -s 75000"  28.79  1.85  113.98  1066880
"./main -n 11 -f A-100k.in -s 75000"  28.80  1.77  114.94  1092944
"./main -n 12 -f A-100k.in -s 75000"  28.68  1.96  115.35  1110880
"./main -n 12 -f A-100k.in -s 75000"  28.61  1.82  114.43  1047504
"./main -n 12 -f A-100k.in -s 75000"  28.61  1.76  114.20  1052144
"./main -n 13 -f A-100k.in -s 75000"  28.61  2.00  115.73  1064816
"./main -n 13 -f A-100k.in -s 75000"  28.89  1.71  116.63  1104752
"./main -n 13 -f A-100k.in -s 75000"  28.87  2.05  115.48  1104960
"./main -n 14 -f A-100k.in -s 75000"  28.69  2.02  117.57  1078128
"./main -n 14 -f A-100k.in -s 75000"  28.85  2.15  117.32  1049568
"./main -n 14 -f A-100k.in -s 75000"  28.45  1.82  117.20  1105504
"./main -n 15 -f A-100k.in -s 75000"  28.54  1.85  115.79  1095840
"./main -n 15 -f A-100k.in -s 75000"  28.77  1.89  118.01  1098432
"./main -n 15 -f A-100k.in -s 75000"  28.70  1.88  115.33  1090528
"./main -n 16 -f A-100k.in -s 75000"  29.08  2.16  115.50  1078064
"./main -n 16 -f A-100k.in -s 75000"  28.62  2.14  116.69  1049920
"./main -n 16 -f A-100k.in -s 75000"  28.72  2.01  114.94  1043280
