"./main -n 1 -f A-100k.in -s 50000"  131.42  1.91  130.21  2127536
"./main -n 1 -f A-100k.in -s 50000"  134.24  2.35  132.69  2127536
"./main -n 1 -f A-100k.in -s 50000"  135.82  2.25  134.40  2127552
"./main -n 2 -f A-100k.in -s 50000"  69.38  1.97  130.73  2076192
"./main -n 2 -f A-100k.in -s 50000"  72.28  2.28  136.33  2109680
"./main -n 2 -f A-100k.in -s 50000"  70.20  2.17  132.03  2174336
"./main -n 3 -f A-100k.in -s 50000"  50.63  2.52  134.31  2045680
"./main -n 3 -f A-100k.in -s 50000"  50.43  2.43  133.72  2153488
"./main -n 3 -f A-100k.in -s 50000"  50.57  2.32  134.56  2109984
"./main -n 4 -f A-100k.in -s 50000"  40.72  2.28  134.32  2150496
"./main -n 4 -f A-100k.in -s 50000"  40.56  2.33  132.95  2136816
"./main -n 4 -f A-100k.in -s 50000"  41.55  2.38  138.15  2120048
"./main -n 5 -f A-100k.in -s 50000"  34.55  1.95  131.39  2124608
"./main -n 5 -f A-100k.in -s 50000"  34.56  2.64  130.97  2104144
"./main -n 5 -f A-100k.in -s 50000"  34.47  2.41  130.77  2066480
"./main -n 6 -f A-100k.in -s 50000"  31.60  2.44  132.43  2099680
"./main -n 6 -f A-100k.in -s 50000"  31.53  2.18  130.19  2119088
"./main -n 6 -f A-100k.in -s 50000"  31.37  2.35  130.56  2154320
"./main -n 7 -f A-100k.in -s 50000"  29.48  2.49  128.37  2134976
"./main -n 7 -f A-100k.in -s 50000"  29.19  2.43  126.47  2125264
"./main -n 7 -f A-100k.in -s 50000"  29.54  2.29  130.27  2078064
"./main -n 8 -f A-100k.in -s 50000"  28.32  2.73  113.88  2174224
"./main -n 8 -f A-100k.in -s 50000"  28.46  2.64  127.11  2184528
"./main -n 8 -f A-100k.in -s 50000"  27.97  2.30  113.51  2045584
"./main -n 9 -f A-100k.in -s 50000"  27.78  2.42  112.84  2097904
"./main -n 9 -f A-100k.in -s 50000"  27.85  2.47  112.41  2063248
"./main -n 9 -f A-100k.in -s 50000"  28.07  2.39  115.47  2131056
"./main -n 10 -f A-100k.in -s 50000"  28.07  2.24  119.06  2122240
"./main -n 10 -f A-100k.in -s 50000"  28.14  2.48  112.99  2145408
"./main -n 10 -f A-100k.in -s 50000"  28.33  2.32  113.92  2088992
"./main -n 11 -f A-100k.in -s 50000"  28.22  2.44  114.21  2145104
"./main -n 11 -f A-100k.in -s 50000"  28.22  2.58  115.94  2071856
"./main -n 11 -f A-100k.in -s 50000"  28.17  2.54  115.32  2058032
"./main -n 12 -f A-100k.in -s 50000"  28.06  2.57  115.38  2174112
"./main -n 12 -f A-100k.in -s 50000"  28.00  2.60  115.30  2062624
"./main -n 12 -f A-100k.in -s 50000"  28.11  2.67  112.45  2079488
"./main -n 13 -f A-100k.in -s 50000"  28.01  2.36  114.72  2046928
"./main -n 13 -f A-100k.in -s 50000"  28.10  2.41  113.42  2093632
"./main -n 13 -f A-100k.in -s 50000"  28.36  2.59  115.14  2061920
"./main -n 14 -f A-100k.in -s 50000"  27.65  2.32  115.23  2150800
"./main -n 14 -f A-100k.in -s 50000"  27.82  2.38  119.51  2110816
"./main -n 14 -f A-100k.in -s 50000"  28.02  2.17  116.42  2117136
"./main -n 15 -f A-100k.in -s 50000"  28.10  2.30  113.58  2077616
"./main -n 15 -f A-100k.in -s 50000"  28.15  2.53  114.92  2131536
"./main -n 15 -f A-100k.in -s 50000"  27.94  2.63  112.93  2058720
"./main -n 16 -f A-100k.in -s 50000"  28.27  2.57  113.25  2077792
"./main -n 16 -f A-100k.in -s 50000"  28.06  2.50  113.00  2042544
"./main -n 16 -f A-100k.in -s 50000"  28.56  2.80  116.97  2126640
