"./main -n 1 -f A-50k.in -s 37500"  67.22  0.96  66.58  540912
"./main -n 1 -f A-50k.in -s 37500"  66.24  0.94  65.60  540896
"./main -n 1 -f A-50k.in -s 37500"  65.61  0.98  64.94  540912
"./main -n 2 -f A-50k.in -s 37500"  34.43  1.06  64.13  526832
"./main -n 2 -f A-50k.in -s 37500"  34.49  0.97  64.38  542736
"./main -n 2 -f A-50k.in -s 37500"  34.57  1.06  64.54  561312
"./main -n 3 -f A-50k.in -s 37500"  24.89  1.08  64.65  558560
"./main -n 3 -f A-50k.in -s 37500"  25.19  0.89  65.85  556336
"./main -n 3 -f A-50k.in -s 37500"  25.62  1.12  67.10  546352
"./main -n 4 -f A-50k.in -s 37500"  20.70  1.17  65.50  528944
"./main -n 4 -f A-50k.in -s 37500"  20.38  1.00  64.26  533824
"./main -n 4 -f A-50k.in -s 37500"  20.93  1.16  66.22  560176
"./main -n 5 -f A-50k.in -s 37500"  18.38  1.15  67.51  538144
"./main -n 5 -f A-50k.in -s 37500"  17.94  0.93  64.90  531264
"./main -n 5 -f A-50k.in -s 37500"  17.84  1.03  64.18  532128
"./main -n 6 -f A-50k.in -s 37500"  16.70  1.10  64.32  545440
"./main -n 6 -f A-50k.in -s 37500"  16.52  0.83  63.67  558624
"./main -n 6 -f A-50k.in -s 37500"  16.44  1.03  62.23  565040
"./main -n 7 -f A-50k.in -s 37500"  15.86  0.94  62.45  542528
"./main -n 7 -f A-50k.in -s 37500"  15.83  0.93  62.57  543888
"./main -n 7 -f A-50k.in -s 37500"  15.82  0.92  62.73  533920
"./main -n 8 -f A-50k.in -s 37500"  15.43  1.11  60.74  538832
"./main -n 8 -f A-50k.in -s 37500"  15.57  1.03  61.40  551488
"./main -n 8 -f A-50k.in -s 37500"  15.48  1.04  60.55  559984
"./main -n 9 -f A-50k.in -s 37500"  15.53  1.02  61.77  556544
"./main -n 9 -f A-50k.in -s 37500"  15.23  1.20  60.13  544064
"./main -n 9 -f A-50k.in -s 37500"  15.31  1.15  57.93  557296
"./main -n 10 -f A-50k.in -s 37500"  15.39  1.02  59.46  539488
"./main -n 10 -f A-50k.in -s 37500"  15.32  1.12  58.22  534368
"./main -n 10 -f A-50k.in -s 37500"  15.20  0.95  58.14  543536
"./main -n 11 -f A-50k.in -s 37500"  15.43  1.06  59.59  552384
"./main -n 11 -f A-50k.in -s 37500"  15.41  1.07  59.19  532672
"./main -n 11 -f A-50k.in -s 37500"  15.32  1.12  58.67  551872
"./main -n 12 -f A-50k.in -s 37500"  15.22  1.12  59.72  539824
"./main -n 12 -f A-50k.in -s 37500"  15.27  1.02  57.94  533920
"./main -n 12 -f A-50k.in -s 37500"  15.43  1.20  61.68  558224
"./main -n 13 -f A-50k.in -s 37500"  15.42  1.30  61.01  552832
"./main -n 13 -f A-50k.in -s 37500"  15.25  1.13  57.97  529088
"./main -n 13 -f A-50k.in -s 37500"  15.42  1.25  60.28  532560
"./main -n 14 -f A-50k.in -s 37500"  15.37  1.03  59.17  545712
"./main -n 14 -f A-50k.in -s 37500"  15.43  1.04  61.78  543552
"./main -n 14 -f A-50k.in -s 37500"  15.31  1.16  61.71  535888
"./main -n 15 -f A-50k.in -s 37500"  15.15  0.93  61.07  543152
"./main -n 15 -f A-50k.in -s 37500"  15.12  1.26  57.87  549152
"./main -n 15 -f A-50k.in -s 37500"  15.44  1.17  58.81  531168
"./main -n 16 -f A-50k.in -s 37500"  15.37  1.07  59.42  532096
"./main -n 16 -f A-50k.in -s 37500"  15.49  1.17  65.66  553392
"./main -n 16 -f A-50k.in -s 37500"  15.18  1.32  59.36  533744
